ISIN,Description,Maturity Date
INE202B07GP4,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-16 (TR-06) 9.15 NCD 20SP19 FVRS10LAC - Defaulted in Redemption,20-09-2019
INE121H07AO9,IL&FS FINANCIAL SERVICES LIMITED SR-V 8.9 NCD 28MR19 FVRS1000 - Defaulted in Redemption,28-03-2019
INE217K07679,RELIANCE HOME FINANCE LIMITED SR-M/22 TYPE I BR NCD 30SP19 FVRS5LAC - Defaulted in Redemption,30-09-2019
INE202B07GS8,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-16 (TR-09) 9.15 NCD 20SP19 FVRS10LAC - Defaulted in Redemption,20-09-2019
INE217K07729,RELIANCE HOME FINANCE LIMITED SR-M/24 BR NCD 07OT19 FVRS5LAC - Defaulted in Redemption,07-10-2019
INE013A07Z83,RELIANCE CAPITAL LIMITED SR-B/362 BR NCD 01JU20 FVRS1LAC  - Defaulted in Redemption,01-06-2020
INE013A071A8,RELIANCE CAPITAL LIMITED SR-FB-350-II 8.75 NCD 02JU21 FVRS10LAC - Defaulted in Redemption,02-06-2021
INE121H07AX0,IL&FS FINANCIAL SERVICES LIMITED SR-I 8.75 NCD 03JU21 FVRS1000,03-06-2021
INE121H07BA6,IL&FS FINANCIAL SERVICES LIMITED SR-II 8.75 NCD 09JU21 FVRS1000,09-06-2021
INE013A075A9,RELIANCE CAPITAL LIMITED SR-FB-352-I 8.75 NCD 10JU21 FVRS10LAC - Defaulted in Redemption,10-06-2021
INE121H07BD0,IL&FS FINANCIAL SERVICES LIMITED SR-III 8.75 NCD 14JU21 FVRS1000,14-06-2021
INE509P07058,ASHIANA LANDCRAFT REALTY PRIVATE LIMITED SR-I RR NCD 31MR21 FVRS1000 - Defaulted in Redemption,31-03-2021
INE509P07066,ASHIANA LANDCRAFT REALTY PRIVATE LIMITED SR-II RR NCD 31MR21 FVRS261 - Defaulted in Redemption,31-03-2021
INE202B07HF3,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-16 (TR-22) 9.1 NCD 16AP20 FVRS10LAC - Defaulted in Redemption,16-04-2020
INE121H07BF5,IL&FS FINANCIAL SERVICES LIMITED SR-IV 8.78 NCD 21JU21 FVRS1000,21-06-2021
INE013A079A1,RELIANCE CAPITAL LIMITED SR-FB-353-III 8.75 NCD 24JU21 FVRS10LAC - Defaulted in Redemption,24-06-2021
INE217K07828,RELIANCE HOME FINANCE LIMITED SR-B NCD 46 TYPE III 8.81 NCD 24JU21 FVRS5LAC - Defaulted in Redemption,24-06-2021
INE013A071B6,RELIANCE CAPITAL LIMITED SR-B/366 TYPE I BR NCD 27DC19 FVRS1LAC  - Defaulted in Redemption,27-12-2019
INE121H07BI9,IL&FS FINANCIAL SERVICES LIMITED SR-VI 8.78 NCD 28JU21 FVRS1000,28-06-2021
INE013A077B3,RELIANCE CAPITAL LIMITED SR-B/368 TYPE III BR NCD 31OT19 FVRS1LAC - Defaulted in Redemption,31-10-2019
INE202B07HK3,DEWAN HOUSING FINANCE CORPORATION LIMITED CATG I & II SR-I 8.74 LOA 16AG19 FVRS1000 - Defaulted in Redemption,16-08-2019
INE121H07BO7,IL&FS FINANCIAL SERVICES LIMITED SR-X 8.54 NCD 08NV19 FVRS1000 - Defaulted in Redemption,08-11-2019
INE202B07HL1,DEWAN HOUSING FINANCE CORPORATION LIMITED CATG III & IV SR-I 8.83 LOA 16AG19 FVRS1000 - Defaulted in Redemption,16-08-2019
INE202B07HQ0,DEWAN HOUSING FINANCE CORPORATION LIMITED CATG I & II SR-IV 9.1 LOA 16AG19 FVRS1000 - Defaulted in Redemption,16-08-2019
INE202B07HR8,DEWAN HOUSING FINANCE CORPORATION LIMITED CATG III & IV SR-IV 9.2 LOA 16AG19 FVRS1000 - Defaulted in Redemption,16-08-2019
INE202B07HW8,DEWAN HOUSING FINANCE CORPORATION LIMITED CATG I & II SR-VII LOA 16AG19 FVRS1000 - Defaulted in Redemption,16-08-2019
INE202B07HX6,DEWAN HOUSING FINANCE CORPORATION LIMITED CATG III & IV SR-VII LOA 16AG19 FVRS1000 - Defaulted in Redemption,16-08-2019
INE202B07IC8,DEWAN HOUSING FINANCE CORPORATION LIMITED CATG I & II SR-X BR LOA 16AG19 FVRS1000 - Defaulted in Redemption,16-08-2019
INE202B07ID6,DEWAN HOUSING FINANCE CORPORATION LIMITED CATG III & IV SR-X BR LOA 16AG19 FVRS1000 - Defaulted in Redemption,16-08-2019
INE013A071D2,RELIANCE CAPITAL LIMITED SR-B/374 BR NCD 19DC19 FVRS1LAC - Defaulted in Redemption,19-12-2019
INE529V08011,S&J GRANULATE SOLUTIONS PRIVATE LIMITED SR-1-500 16.43 NCD 24AG19 FVRS1LAC - Defaulted in Redemption,24-08-2019
INE819T08010,SANDOR MEDICAIDS PRIVATE LIMITED SR-1-670 16.43 NCD 24AG19 FVRS1LAC - Defaulted in Redemption,24-08-2019
INE544V08010,SORT INDIA ENVIRO SOLUTIONS LIMITED SR-1-400 16.68 NCD 24AG19 FVRS1LAC - Defaulted in Redemption,24-08-2019
INE545V08017,SHREEDHAR MILK FOODS LIMITED SR-1-510 15.75 NCD 24AG19 FVRS1LAC - Defaulted in Redemption,24-08-2019
INE202B07IG9,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-17 TR 4 8.84 NCD 23JL19 FVRS10LAC - Defaulted in Redemption,23-07-2019
INE202B07IH7,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-17 TR 5 8.8445 NCD 05AG19 FVRS10LAC - Defaulted in Redemption,05-08-2019
INE202B07II5,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-17 TR 6 8.845 NCD 06AG19 FVRS10LAC - Defaulted in Redemption,06-08-2019
INE202B07IJ3,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-I CATG I & II 9.05 NCD 09SP19 FVRS1000 - Defaulted in Redemption,09-09-2019
INE202B07IK1,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-I CATG III & IV 9.1 NCD 09SP19 FVRS1000 - Defaulted in Redemption,09-09-2019
INE509P07074,ASHIANA LANDCRAFT REALTY PRIVATE LIMITED SR-I RR OCD 31MR21 FVRS1000 - Defaulted in Redemption,31-03-2021
INE509P07082,ASHIANA LANDCRAFT REALTY PRIVATE LIMITED SR-II RR OCD 31MR21 FVRS1000 - Defaulted in Redemption,31-03-2021
INE217K07901,RELIANCE HOME FINANCE LIMITED SR-M/29 BR NCD 19MR20 FVRS5LAC - Defaulted in Redemption,19-03-2020
INE013A078E5,RELIANCE CAPITAL LIMITED B/381 - TYPE II NCD 29OT19 FVRS1LAC - Defaulted in Redemption,29-10-2019
